mmsi,v_name,v_class,v_callsign,v_imo,v_flag,v_system,v_mmsi,v_source
248142000,EVANGELIA M,Bulk Carrier,D5GB2,9506708, Liberia,,636016409,VesselFinder
248144000,ANASTASIA K,Bulk Carrier,9HA2202,9153496, Malta,,248144000,VesselFinder
248147000,SAMOA,Bulk Carrier,9HA2205,9473157, Malta,,248147000,VesselFinder
248150000,KEA,Bulk Carrier,9HA2207,9473171, Malta,,248150000,VesselFinder
248165000,MILOS,Bulk Carrier,9HA2218,9138446, Malta,,248165000,VesselFinder
248179000,KAMBANOS,Bulk Carrier,9HA2227,9469053, Malta,,248179000,VesselFinder
248183000,ANTHEIA,Bulk Carrier,9HA2232,9473078, Malta,,248183000,VesselFinder
248197000,ELPIDA GR,Bulk Carrier,9HA2241,9254630, Malta,,248197000,VesselFinder
248200000,WILSON REEF,Bulk Carrier,9HUY5,7382665, Malta,,248200000,VesselFinder
248256000,SWEET LADY III,Bulk Carrier,9HA2289,9316804, Malta,,248256000,VesselFinder
248296000,TOXOTIS,Bulk Carrier,9HA2301,9563419, Malta,,248296000,VesselFinder
248303000,AKTEA R,Bulk Carrier,9HA2309,9554171, Malta,,248303000,VesselFinder
248316000,ARIANA,Bulk Carrier,9HZS5,8014150, Malta,,248316000,VesselFinder
248326000,STELIOS B,Bulk Carrier,9HA2318,9452490, Malta,,248326000,VesselFinder
248351000,FANTASTIC,Bulk Carrier,9HA2329,9456329, Malta,,248351000,VesselFinder
248354000,PRIVMED,Bulk Carrier,9HA2328,9499618, Malta,,248354000,VesselFinder
248379000,WILSON ROSS,Bulk Carrier,9HCC6,7382495, Malta,,248379000,VesselFinder
248390000,MARIETTA,Bulk Carrier,9HA2346,9281437, Malta,,248390000,VesselFinder
248427000,MIDWAY,Bulk Carrier,9HA2363,9278923, Malta,,248427000,VesselFinder
248540000,GLYFADA,Bulk Carrier,9HIT6,9104586, Malta,,248540000,VesselFinder
248550000,PERTH I,Bulk Carrier,9HA2407,9583550, Malta,,248550000,VesselFinder
248565000,DENSA TIGER,Bulk Carrier,9HA2417,9432476, Malta,,248565000,VesselFinder
248635000,MARAKI,Bulk Carrier,9HA2447,9104158, Malta,,248635000,VesselFinder
248639000,DENSA EAGLE,Bulk Carrier,9HA2450,9432488, Malta,,248639000,VesselFinder
248721000,VITOSHA,Bulk Carrier,9HA2482,9564138, Malta,,248721000,VesselFinder
248731000,SEA LORD,Bulk Carrier,9HA2487,9105231, Malta,,248731000,VesselFinder
248746000,DALO Z,Bulk Carrier,9HA2496,9586588, Malta,,248746000,VesselFinder
248775000,SEA MELODY,Bulk Carrier,9HA2508,9580118, Malta,,248775000,VesselFinder
248779000,ALMYROS,Bulk Carrier,9HA2510,9584138, Malta,,248779000,VesselFinder
248780000,WILSON MARIN,Bulk Carrier,9HRL6,7610103, Malta,,248780000,VesselFinder
248828000,AGGELOS B.,Bulk Carrier,9HA2531,9577434, Malta,,248828000,VesselFinder
248852000,PRETTY,Bulk Carrier,9HA2548,9453743, Malta,,248852000,VesselFinder
248853000,ANGEL,Bulk Carrier,9HA2549,9453731, Malta,,248853000,VesselFinder
248859000,CAPE ELEKTRA,Bulk Carrier,9HA2551,9527922, Malta,,248859000,VesselFinder
248875000,SIDER ALICUDI,Bulk Carrier,9HA2559,9586435, Malta,,248875000,VesselFinder
248876000,ANANGEL SEAFARER,Bulk Carrier,9HA2562,9434371, Malta,,248876000,VesselFinder
248967000,NAHIDE,Bulk Carrier,9HA2592,9116319, Malta,,248967000,VesselFinder
249029000,PETANI,Bulk Carrier,9HIO9,9363065, Malta,,249029000,VesselFinder
249045000,LOWLANDS PHOENIX,Bulk Carrier,9HIY9,9303845, Malta,,249045000,VesselFinder
249109000,CORVUS,Bulk Carrier,9HKV9,9145889, Malta,,249109000,VesselFinder
249115000,LOWLANDS NELLO,Bulk Carrier,9HKZ9,9304186, Malta,,249115000,VesselFinder
249174000,BALTIA,Bulk Carrier,9HMG9,9286920, Malta,,249174000,VesselFinder
249280000,SORRENTO,Bulk Carrier,9HOL9,9310408, Malta,,249280000,VesselFinder
249290000,MYSTIC,Bulk Carrier,9HOQ9,9421831, Malta,,249290000,VesselFinder
249305000,FLECHA,Bulk Carrier,9HPC9,9284570, Malta,,249305000,VesselFinder
249308000,MARY GORGIAS,Bulk Carrier,9HPE9,9366108, Malta,,249308000,VesselFinder
249356000,SIFNOS SUN,Bulk Carrier,9HQF9,8318958, Malta,,249356000,VesselFinder
249416000,SALTINA,Bulk Carrier,9HRM9,9492933, Malta,,249416000,VesselFinder
249442000,KATHERINE,Bulk Carrier,9HSB9,9133290, Malta,,249442000,VesselFinder
249562000,KARTERIA,Bulk Carrier,9HUU9,9236092, Malta,,249562000,VesselFinder
