series,mmsi,source,sourceid,datetime,callsign,class,flag,imo,name
18680,319280000,MarineTraffic.com,319280000,2014-07-24,ZCXZ4,Oil/chemical tanker,Cayman Is,9359363,STOLT FACTO
18679,319266000,MarineTraffic.com,319266000,2014-07-24,ZGBG5,Sailing vessel,Cayman Is,9547635,ASAHI
18678,319257000,MarineTraffic.com,319257000,2014-07-24,ZCXL3,Unspecified,Cayman Is,,BEOTHUK
18677,319251000,MarineTraffic.com,319251000,2014-07-24,ZCPT2,Yacht,Cayman Is,9423401,EVVIVA
18676,319237000,MarineTraffic.com,319237000,2014-07-24,ZGCE2,Yacht,Cayman Is,1011862,CARYALI
18675,311067700,MarineTraffic.com,311067700,2014-07-24,C6ZV8,Shuttle tanker,Bahamas,9183283,CARTOLA
18674,311067600,MarineTraffic.com,311067600,2014-07-24,C6ZV7,Offshore supply ship,Bahamas,9355989,VIGEO ADEBOLA
18673,311067500,MarineTraffic.com,311067500,2014-07-24,C6ZV6,Passengers ship,Bahamas,7347536,DELPHIN
18671,311067000,MarineTraffic.com,311067000,2014-07-24,C6RK7,Heavy load carrier,Bahamas,9235127,CLIPPER COPENHAGEN
18670,311066100,MarineTraffic.com,311066100,2014-07-24,C6ZT8,Crude oil tanker,Bahamas,9308065,STORVIKEN
18669,311066000,MarineTraffic.com,311066000,2014-07-24,C6RK6,Pipelay crane vessel,Bahamas,9210749,SAIPEM FDS
18667,311065400,MarineTraffic.com,311065400,2014-07-24,C6ZT2,Shuttle tanker,Bahamas,9492050,MADRE DE DEUS
18666,311065300,MarineTraffic.com,311065300,2014-07-24,C6ZS9,Shuttle tanker,Bahamas,9492000,ANGRA DOS REIS
18665,311064300,MarineTraffic.com,311064300,2014-07-24,C6ZR8,Bulk carrier,Bahamas,9597094,ANDANTE
18664,311063900,MarineTraffic.com,311063900,2014-07-24,C6ZR5,Passengers ship,Bahamas,7325629,OCEAN DIAMOND
18662,311063400,MarineTraffic.com,311063400,2014-07-24,C6ZQ8,Research/survey vessel,Bahamas,9242431,GEOSEA
18661,311063200,MarineTraffic.com,311063200,2014-07-24,C6ZQ6,Bulk carrier,Bahamas,9219020,BLUEMOON
18660,311062400,MarineTraffic.com,311062400,2014-07-24,C6ZP7,Reefer,Bahamas,8819926,DITLEV REEFER
18659,311061600,MarineTraffic.com,311061600,2014-07-24,C6ZO7,Bulk carrier,Bahamas,9582116,EPIPHANIA
18658,311061300,MarineTraffic.com,311061300,2014-07-24,C6ZO4,Bulk carrier,Bahamas,9502855,PYTHAGORAS
18657,311061100,MarineTraffic.com,311061100,2014-07-24,C6Z02,Passengers ship,Bahamas,8802870,CALEDONIAN SKY
18656,311060700,MarineTraffic.com,311060700,2014-07-24,C6ZN7,Tug,Bahamas,9396426,SMIT DANE
18655,311060600,MarineTraffic.com,311060600,2014-07-24,C6ZN6,Bulk carrier,Bahamas,9339947,BULK JUPITER
18654,311060400,MarineTraffic.com,311060400,2014-07-24,C6ZN4,Container ship,Bahamas,9220847,MARIE DELMAS
18653,311060300,MarineTraffic.com,311060300,2014-07-24,C6ZN3,Container ship,Bahamas,9224946,CMA CGM LA TOUR
18651,311058500,MarineTraffic.com,311058500,2014-07-24,C6ZL4,Bulk carrier,Bahamas,9496252,SOLINA
18650,311057300,MarineTraffic.com,311057300,2014-07-24,C6ZJ9,Self discharging bulk carrier,Bahamas,9600970,RT HON PAUL E MARTIN
18649,311056600,MarineTraffic.com,311056600,2014-07-24,C6ZI6,Research/survey vessel,Bahamas,9386550,OCEAN EUROPE
18648,311056400,MarineTraffic.com,311056400,2014-07-24,C6ZI4,Bulk carrier,Bahamas,9545053,EFTICHIA
18646,311056100,MarineTraffic.com,311056100,2014-07-24,C6ZH9,Research/survey vessel,Bahamas,9378228,PGS APOLLO
18645,311055800,MarineTraffic.com,311055800,2014-07-24,C6ZH7,Bulk carrier,Bahamas,9303364,AFRICAN SWAN
18644,311055700,MarineTraffic.com,311055700,2014-07-24,C6ZH6,Bulk carrier,Bahamas,9503811,MYKALI
18643,311054900,MarineTraffic.com,311054900,2014-07-24,C6ZG7,Reefer,Bahamas,9189897,ATLANTIC ACANTHUS
18642,311054500,MarineTraffic.com,311054500,2014-07-24,C6ZG3,Bulk carrier,Bahamas,9586631,LYRIC STAR
18641,311054400,MarineTraffic.com,311054400,2014-07-24,C6ZE8,Vehicles carrier,Bahamas,9441582,GLOVIS CLIPPER
18640,311054200,MarineTraffic.com,311054200,2014-07-24,C6ZG2,Bulk carrier,Bahamas,9519171,GIOVANNA
18638,311053500,MarineTraffic.com,311053500,2014-07-24,C6ZD9,Bulk carrier,Bahamas,9589152,PUMA MAX
18637,311053300,MarineTraffic.com,311053300,2014-07-24,C6ZD7,Bulk carrier,Bahamas,9589140,JAGUAR MAX
18636,311052800,MarineTraffic.com,311052800,2014-07-24,C6ZD3,Research/survey vessel,Bahamas,9610171,POLARCUS AMANI
18635,311052700,MarineTraffic.com,311052700,2014-07-24,C6ZD2,Vehicles carrier,Bahamas,9441570,HEROIC LEADER
18634,311052600,MarineTraffic.com,311052600,2014-07-24,C6ZC9,Offshore supply ship,Bahamas,9334131,OLYMPIC PROGRESS
18633,311052400,MarineTraffic.com,311052400,2014-07-24,C6ZC7,Anchor handling vessel,Bahamas,9447639,SKANDI EMERALD
18632,311052000,MarineTraffic.com,311052000,2014-07-24,C6WD7,Bulk carrier,Bahamas,9221592,LITTLE PRINCE
18631,311050100,MarineTraffic.com,311050100,2014-07-24,C6YZ6,Floating storage/production,Bahamas,9005211,FPSO CIDADE DE SAO PAULO MV23
18630,311049500,MarineTraffic.com,311049500,2014-07-24,C6YY7,Anchor handling vessel,Bahamas,9185023,SKANDI ADMIRAL
18629,311048900,MarineTraffic.com,311048900,2014-07-24,C6YY2,Anchor handling vessel,Bahamas,9435739,SKANDI HERCULES
18628,311048300,MarineTraffic.com,311048300,2014-07-24,C6YX4,Vehicles carrier,Bahamas,9455715,GLOVIS PRESTIGE
18627,311048200,MarineTraffic.com,311048200,2014-07-24,C6YX3,Vehicles carrier,Bahamas,9453107,GLOVIS PASSION
18626,311047500,MarineTraffic.com,311047500,2014-07-24,C6YW5,Bulk carrier,Bahamas,9566576,ULTRA WOLLONGONG
18625,311047200,MarineTraffic.com,311047200,2014-07-24,C6YW2,General cargo,Bahamas,9037288,GIL
18624,311047100,MarineTraffic.com,311047100,2014-07-24,C6YV9,Oil/chemical tanker,Bahamas,9505974,NORDIC AKI
18623,311046600,MarineTraffic.com,311046600,2014-07-24,C6YV5,Oil/chemical tanker,Bahamas,9328144,GOTLAND SOFIA
18622,311046500,MarineTraffic.com,311046500,2014-07-24,C6YV4,Bulk carrier,Bahamas,9086966,AFRICAN SUN
18621,311046400,MarineTraffic.com,311046400,2014-07-24,C6YV3,Shuttle tanker,Bahamas,9499888,RECIFE KNUTSEN
18620,311046300,MarineTraffic.com,311046300,2014-07-24,C6YV2,Shuttle tanker,Bahamas,9499876,FORTALEZA KNUTSEN
18619,311046200,MarineTraffic.com,311046200,2014-07-24,C6YU9,Bulk carrier,Bahamas,9464780,RENA
18618,311045400,MarineTraffic.com,311045400,2014-07-24,C6YU4,Oil/chemical tanker,Bahamas,9375604,GOTLAND ALIYA
18617,311045300,MarineTraffic.com,311045300,2014-07-24,C6YU3,Vehicles carrier,Bahamas,9584059,NEPTUNE ACE
18616,311045200,MarineTraffic.com,311045200,2014-07-24,C6YU2,General cargo,Bahamas,9051210,FORTUNA
18615,311044900,MarineTraffic.com,311044900,2014-07-24,C6YT8,Oil/chemical tanker,Bahamas,9142502,RATHBOYNE
18614,311044800,MarineTraffic.com,311044800,2014-07-24,C6YT7,Research/survey vessel,Bahamas,8200838,DUKE
18613,311044500,MarineTraffic.com,311044500,2014-07-24,C6YT4,General cargo,Bahamas,9007544,QUETZAL ARROW
18612,311044200,MarineTraffic.com,311044200,2014-07-24,C6YS8,Container ship,Bahamas,9451939,CMA CGM AFRICA THREE
18611,311044100,MarineTraffic.com,311044100,2014-07-24,C6YS9,Container ship,Bahamas,9451965,CMA CGM AFRICA FOUR
18610,311043300,MarineTraffic.com,311043300,2014-07-24,C6YR9,Container ship,Bahamas,9451927,CMA CGM AFRICA TWO
18609,311042700,MarineTraffic.com,311042700,2014-07-24,C6YR4,Bulk carrier,Bahamas,9437529,ST.PETER
18608,311042500,MarineTraffic.com,311042500,2014-07-24,C6YR2,Bulk carrier,Bahamas,9437517,ST.GEORGE
18607,311042400,MarineTraffic.com,311042400,2014-07-24,C6YQ9,Reefer,Bahamas,8804579,GREEN MALOY
18606,311042300,MarineTraffic.com,311042300,2014-07-24,C6YQ8,Reefer,Bahamas,9015785,GREEN TOLEDO
18605,311041500,MarineTraffic.com,311041500,2014-07-24,C6YP9,Bulk carrier,Bahamas,9480552,SHANDONG PENG CHENG
18604,311041300,MarineTraffic.com,311041300,2014-07-24,C6YP7,Drill ship,Bahamas,9588706,ODN II
18603,311041200,MarineTraffic.com,311041200,2014-07-24,C6YP6,Drill ship,Bahamas,9588524,ODN I
18602,311040800,MarineTraffic.com,311040800,2014-07-24,C6YP3,Ro-ro/passenger ship,Bahamas,9441568,HARMONY LEADER
18601,311040700,MarineTraffic.com,311040700,2014-07-24,C6YP2,Ro-ro/passenger ship,Bahamas,9441556,HERITAGE LEADER
18600,311040600,MarineTraffic.com,311040600,2014-07-24,C6YO9,Vehicles carrier,Bahamas,9441520,HORIZON LEADER
18599,311040200,MarineTraffic.com,311040200,2014-07-24,C6YO5,Bulk carrier,Bahamas,9414759,ST.GREGORY
18598,311039200,MarineTraffic.com,311039200,2014-07-24,C6YN5,Tug,Bahamas,9479709,SMIT SIYANDA
18597,311039100,MarineTraffic.com,311039100,2014-07-24,C6YN4,Bulk carrier,Bahamas,9531844,GLOBAL COMMANDER
18596,311038900,MarineTraffic.com,311038900,2014-07-24,C6YZ5,Passengers ship,Bahamas,9483126,SEABOURN QUEST
18595,311038700,MarineTraffic.com,311038700,2014-07-24,C6YZ3,Lng tanker,Bahamas,9490961,LOBITO
18594,311038600,MarineTraffic.com,311038600,2014-07-24,C6YZ2,Lng tanker,Bahamas,9490959,MALANJE
18593,311038500,MarineTraffic.com,311038500,2014-07-24,C6YN3,Lng tanker,Bahamas,9475208,SOYO
18592,311038400,MarineTraffic.com,311038400,2014-07-24,C6YN2,Lng tanker,Bahamas,9491812,CUBAL
18591,311038300,MarineTraffic.com,311038300,2014-07-24,C6YM9,Bulk carrier,Bahamas,9207807,CSL BRISBANE
18590,311037900,MarineTraffic.com,311037900,2014-07-24,C6YM2,Oil products tanker,Bahamas,9385831,PACIFIC VEGA
18589,311037700,MarineTraffic.com,311037700,2014-07-24,C6YL8,Oil/chemical tanker,Bahamas,9375575,GOTLAND MARIEANN
18588,311037600,MarineTraffic.com,311037600,2014-07-24,C6YL7,Bulk carrier,Bahamas,9393462,RESKO
18587,311037400,MarineTraffic.com,311037400,2014-07-24,C6YL5,General cargo,Bahamas,9443920,TUJU ARROW
18586,311037300,MarineTraffic.com,311037300,2014-07-24,C6YL4,Ro-ro/passenger ship,Bahamas,9551363,AUSTAL HULL 270
18585,311037200,MarineTraffic.com,311037200,2014-07-24,C6YL3,Bulk carrier,Bahamas,9409546,MARINA R
18584,311037100,MarineTraffic.com,311037100,2014-07-24,C6YK9,Bulk carrier,Bahamas,9409534,ELAR TRADER
18583,311036600,MarineTraffic.com,311036600,2014-07-24,C6YK6,Oil/chemical tanker,Bahamas,9447744,GAN TRIBUTE
18582,311035300,MarineTraffic.com,311035300,2014-07-24,C6ZB2,Bulk carrier,Bahamas,9542520,CS CALLA
18580,311034100,MarineTraffic.com,311034100,2014-07-24,C6YH8,Bulk carrier,Bahamas,9452608,JAWOR
18579,311033700,MarineTraffic.com,311033700,2014-07-24,C6YJ5,General cargo,Bahamas,9557783,CLIPPER GRAND
18578,311033600,MarineTraffic.com,311033600,2014-07-24,C6YJ4,Bulk carrier,Bahamas,9422378,JUNO
18577,311033400,MarineTraffic.com,311033400,2014-07-24,C6YJ2,Bulk carrier,Bahamas,9551375,CLIPPER LOTUS
18576,311033200,MarineTraffic.com,311033200,2014-07-24,C6YE2,Bulk carrier,Bahamas,9406128,CS CRYSTAL
18575,311032300,MarineTraffic.com,311032300,2014-07-24,C6YG9,Bulk carrier,Bahamas,9463580,AGIA FILOTHEI
18574,311031800,MarineTraffic.com,311031800,2014-07-24,C6YG5,Offshore supply ship,Bahamas,9424508,SIEM STORK
18573,311031700,MarineTraffic.com,311031700,2014-07-24,C6YG4,Oil/chemical tanker,Bahamas,9403839,PITANGA
18572,311031400,MarineTraffic.com,311031400,2014-07-24,C6YF9,Bulk carrier,Bahamas,9478767,AQUA ATLANTIC
18571,311030800,MarineTraffic.com,311030800,2014-07-24,C6YF5,Research/survey vessel,Bahamas,9545986,BGP PROSPECTOR
18570,311030700,MarineTraffic.com,311030700,2014-07-24,C6YF4,Drill ship,Bahamas,9437359,SAIPEM 12000
18569,311029900,MarineTraffic.com,311029900,2014-07-24,C6YE5,Research/survey vessel,Bahamas,9413303,RAMFORM STERLING
18568,311029800,MarineTraffic.com,311029800,2014-07-24,C6YE4,Bulk carrier,Bahamas,9452593,GIEWONT
18567,311029200,MarineTraffic.com,311029200,2014-07-24,C6YC3,General cargo,Bahamas,9385489,TENCA ARROW
18566,311028500,MarineTraffic.com,311028500,2014-07-24,C6YB5,Drill ship,Bahamas,9562570,NORBE IX
18565,311028400,MarineTraffic.com,311028400,2014-07-24,C6YB4,Drill ship,Bahamas,9562568,NORBE VIII
18564,311028100,MarineTraffic.com,311028100,2014-07-24,C6XZ3,Bulk carrier,Bahamas,9106730,MAKRA
18563,311027900,MarineTraffic.com,311027900,2014-07-24,C6YM6,Lng tanker,Bahamas,9475600,SONANGOL SAMBIZANGA
18562,311027700,MarineTraffic.com,311027700,2014-07-24,C6YM4,Oil products tanker,Bahamas,9438858,AMUNDSEN SPIRIT
18561,311027500,MarineTraffic.com,311027500,2014-07-24,C6YA9,Oil products tanker,Bahamas,9438860,NANSEN SPIRIT
18560,311027200,MarineTraffic.com,311027200,2014-07-24,C6YA6,Floating storage/production,Bahamas,8919348,FPSO CIDADE DE ANGRA DOS REIS
18559,311027100,MarineTraffic.com,311027100,2014-07-24,C6YA5,Passengers ship,Bahamas,9417098,SEABOURN SOJOURN
18558,311026800,MarineTraffic.com,311026800,2014-07-24,C6XZ6,Anchor handling vessel,Bahamas,9053177,VIGEO OLUFUNKE
18557,311025800,MarineTraffic.com,311025800,2014-07-24,C6XY4,Bulk carrier,Bahamas,9402122,SUNSET
18556,311025400,MarineTraffic.com,311025400,2014-07-24,C6XX8,Bulk carrier,Bahamas,9445708,SOPHIA Z
18555,311025100,MarineTraffic.com,311025100,2014-07-24,C6XX6,Bulk carrier,Bahamas,9493690,VIRTUOUS STRIKER
18554,311024900,MarineTraffic.com,311024900,2014-07-24,C6XX5,Bulk carrier,Bahamas,9493688,MYSTIC STRIKER
18553,311024800,MarineTraffic.com,311024800,2014-07-24,C6XX4,Bulk carrier,Bahamas,9493676,HEROIC STRIKER
18552,311024500,MarineTraffic.com,311024500,2014-07-24,C6XW9,Bulk carrier,Bahamas,9493652,DYNAMIC STRIKER
18551,311024400,MarineTraffic.com,311024400,2014-07-24,C6XW8,Bulk carrier,Bahamas,9431513,ASSOS STRIKER
18550,311022500,MarineTraffic.com,311022500,2014-07-24,C6XU6,Passengers ship,Bahamas,9437866,SILVER SPIRIT
18549,311021600,MarineTraffic.com,311021600,2014-07-24,C6XT9,Oil/chemical tanker,Bahamas,9326524,ALEXANDER SPIRIT
18547,311020900,MarineTraffic.com,311020900,2014-07-24,C6XT2,Crude oil tanker,Bahamas,9411226,BERMUDA SPIRIT
18546,311019800,MarineTraffic.com,311019800,2014-07-24,C6XR3,Drill ship,Bahamas,9452488,FUGRO SYNERGY
18545,311019600,MarineTraffic.com,311019600,2014-07-24,C6XQ9,Bulk carrier,Bahamas,9398101,HYUNDAI PIONEER
18544,311018800,MarineTraffic.com,311018800,2014-07-24,C6XQ2,General cargo,Bahamas,9385477,CORELLA ARROW
18543,311018700,MarineTraffic.com,311018700,2014-07-24,C6XP9,Crude oil tanker,Bahamas,9427471,JASMIN JOY
18542,311017200,MarineTraffic.com,311017200,2014-07-24,C6XO2,Crude oil tanker,Bahamas,9386952,KAHLA
18541,311017100,MarineTraffic.com,311017100,2014-07-24,C6XN9,Oil/chemical tanker,Bahamas,9381847,GULF RASTAQ
18540,311016800,MarineTraffic.com,311016800,2014-07-24,C6YD7,Bulk carrier,Bahamas,9406116,CLIPPER TERMINUS
18538,311016600,MarineTraffic.com,311016600,2014-07-24,C6YD5,Bulk carrier,Bahamas,9406104,CS CAPRICE
18537,311016500,MarineTraffic.com,311016500,2014-07-24,C6YD4,Bulk carrier,Bahamas,9406099,CLIPPER TARPON
18536,311016400,MarineTraffic.com,311016400,2014-07-24,C6YD3,Bulk carrier,Bahamas,9406087,CS CAROLINE
18535,311016300,MarineTraffic.com,311016300,2014-07-24,C6YD2,Bulk carrier,Bahamas,9406075,CLIPPER TALENT
18534,311016100,MarineTraffic.com,311016100,2014-07-24,C6V2067,Bulk carrier,Bahamas,9406051,CLIPPER TRADITION
18533,311016000,MarineTraffic.com,311016000,2014-07-24,C6WS9,Oil/chemical tanker,Bahamas,9352145,BERNORA
18532,311015600,MarineTraffic.com,311015600,2014-07-24,C6V2064,Bulk carrier,Bahamas,9300192,CS SALINA
18530,311015100,MarineTraffic.com,311015100,2014-07-24,C6XN6,Vehicles carrier,Bahamas,9338852,SUNSHINE ACE
18529,311013900,MarineTraffic.com,311013900,2014-07-24,C6XM4,Bulk carrier,Bahamas,9423786,KURPIE
18528,311013700,MarineTraffic.com,311013700,2014-07-24,C6XM2,Lng tanker,Bahamas,9361639,SPIRIT OF HELA
18527,311013600,MarineTraffic.com,311013600,2014-07-24,C6XL9,Vehicles carrier,Bahamas,9338840,SUNRISE ACE
18526,311013500,MarineTraffic.com,311013500,2014-07-24,C6XL8,Cabu carrier,Bahamas,9282730,KULJAK ARROW
18525,311013400,MarineTraffic.com,311013400,2014-07-24,C6XL7,Crude oil tanker,Bahamas,9417440,OHIO
18524,311013300,MarineTraffic.com,311013300,2014-07-24,C6XL5,Oil/chemical tanker,Bahamas,9435791,TROMSO
18522,311012500,MarineTraffic.com,311012500,2014-07-24,C6XK6,Research/survey vessel,Bahamas,9538127,POLARCUS ASIMA
18521,311012400,MarineTraffic.com,311012400,2014-07-24,C6XK5,Research/survey vessel,Bahamas,9538098,POLARCUS NAILA
18520,311012300,MarineTraffic.com,311012300,2014-07-24,C6XK4,Research/survey vessel,Bahamas,9538139,POLARCUS ALIMA
18519,311012200,MarineTraffic.com,311012200,2014-07-24,C6XK3,Research/survey vessel,Bahamas,9538086,POLARCUS NADIA
18518,311011500,MarineTraffic.com,311011500,2014-07-24,C6XJ5,Bulk carrier,Bahamas,9438054,DELPHI RANGER
18517,311010900,MarineTraffic.com,311010900,2014-07-24,C6XI8,Bulk carrier,Bahamas,9317767,AFRICAN ROBIN
18516,311010400,MarineTraffic.com,311010400,2014-07-24,C6XI3,Container ship,Bahamas,9367970,TRIDENT
18515,311010200,MarineTraffic.com,311010200,2014-07-24,C6XH9,Floating storage/production,Bahamas,9077800,FPSO PSVM
18514,311009800,MarineTraffic.com,311009800,2014-07-24,C6XH6,Crude oil tanker,Bahamas,9386938,JANA
18513,311009700,MarineTraffic.com,311009700,2014-07-24,C6XH5,Reefer,Bahamas,8920995,GREEN CRYSTAL
18512,311009400,MarineTraffic.com,311009400,2014-07-24,C6XH2,Reefer,Bahamas,8804531,GREEN KARMOY
18511,311008700,MarineTraffic.com,311008700,2014-07-24,C6XG4,Vehicles carrier,Bahamas,9395628,VICTORY LEADER
18510,311008600,MarineTraffic.com,311008600,2014-07-24,WZXG3,Vehicles carrier,Bahamas,9395630,VIOLET ACE
18509,311008400,MarineTraffic.com,311008400,2014-07-24,C6V2060,Bulk carrier,Bahamas,9237395,CS SACHA
18508,311008200,MarineTraffic.com,311008200,2014-07-24,C6V2055,Bulk carrier,Bahamas,9406037,CLIPPER TITAN
18507,311007700,MarineTraffic.com,311007700,2014-07-24,C6XF8,Bulk carrier,Bahamas,9295579,AFRICAN IBIS
18506,311007500,MarineTraffic.com,311007500,2014-07-24,C6XF6,Crude oil tanker,Bahamas,9400980,ORACLE
18505,311005800,MarineTraffic.com,311005800,2014-07-24,C6XD8,Bulk carrier,Bahamas,9386926,ORAWA
18504,311005700,MarineTraffic.com,311005700,2014-07-24,C6XD7,Bulk carrier,Bahamas,9386914,MAZOWSZE
18503,311005500,MarineTraffic.com,311005500,2014-07-24,C6XD5,Bulk carrier,Bahamas,9291119,ATLANTIC HERO
18502,311004900,MarineTraffic.com,311004900,2014-07-24,C6XB8,Vehicles carrier,Bahamas,9338838,SWIFT ACE
18501,311004700,MarineTraffic.com,311004700,2014-07-24,C6XB7,Multi purpose offshore vessel,Bahamas,9169392,HAVILA FAITH
18500,311003900,MarineTraffic.com,311003900,2014-07-24,C6XA8,Vehicles carrier,Bahamas,9446881,ADRIA ACE
18499,311003600,MarineTraffic.com,311003600,2014-07-24,C6XA5,Vehicles carrier,Bahamas,9361823,CSCC SHANGHAI
18498,311002900,MarineTraffic.com,311002900,2014-07-24,C6WY6,Vehicles carrier,Bahamas,9441506,DIGNITY ACE
18497,311002800,MarineTraffic.com,311002800,2014-07-24,C6WY5,Vehicles carrier,Bahamas,9391579,SERENITY ACE
18496,311002600,MarineTraffic.com,311002600,2014-07-24,C6WY3,Bulk carrier,Bahamas,9314636,FRANCESCO CORRADO
18495,311002200,MarineTraffic.com,311002200,2014-07-24,C6WX8,Oil products tanker,Bahamas,9382085,PACIFIC RAINBOW
18494,311001200,MarineTraffic.com,311001200,2014-07-24,C6WV3,Oil products tanker,Bahamas,9367669,PETALOUDA
18493,311001100,MarineTraffic.com,311001100,2014-07-24,C6WV2,Crude oil tanker,Bahamas,9337157,KOKKARI
18492,310645000,MarineTraffic.com,310645000,2014-07-24,ZCEH9,Bulk carrier,Bermuda,9169378,CORNAVIN
18491,310639000,MarineTraffic.com,310639000,2014-07-24,ZCEH2,Bulk carrier,Bermuda,9182710,CERTOUX
18490,310633000,MarineTraffic.com,310633000,2014-07-24,ZCEG3,Crude oil tanker,Bermuda,9269257,BW LARA
18489,310625000,MarineTraffic.com,310625000,2014-07-24,ZCEF2,Passengers ship,Bermuda,9477438,QUEEN ELIZABETH
18488,310620000,MarineTraffic.com,310620000,2014-07-24,ZCEF1,Crude oil tanker,Bermuda,9579030,STENA SUPERIOR
18486,310606000,MarineTraffic.com,310606000,2014-07-24,ZCEC1,Lng tanker,Bermuda,9425277,METHANE PATRICIA CAMILA
18484,310599000,MarineTraffic.com,310599000,2014-07-24,ZCDZ7,Accommodation platform,Bermuda,8770247,FLOATEL RELIANCE
18483,310598000,MarineTraffic.com,310598000,2014-07-24,ZCED2,Yacht,Bermuda,1010478,TITAN
18482,310594000,MarineTraffic.com,310594000,2014-07-24,ZCDZ3,Lng tanker,Bermuda,9355604,GASLOG SINGAPORE
18480,310587000,MarineTraffic.com,310587000,2014-07-24,ZCEB4,Oil products tanker,Bermuda,9390032,STENA POLARIS
18479,310586000,MarineTraffic.com,310586000,2014-07-24,ZCEB5,Yacht,Bermuda,9554640,OBERON
18478,310583000,MarineTraffic.com,310583000,2014-07-24,ZCDZ2,Lng tanker,Bermuda,9352860,GASLOG SAVANNAH
18477,310565000,MarineTraffic.com,310565000,2014-07-24,ZCDT6,Lng tanker,Bermuda,- Lng tanker: current position and details |,LNG IMO
18476,310559000,MarineTraffic.com,310559000,2014-07-24,ZCDX8,Oil/chemical tanker,Bermuda,9252448,STENA CONQUEROR
18475,310556000,MarineTraffic.com,310556000,2014-07-24,ZCDW9,Passengers ship,Bermuda,9169524,AURORA
18474,310551000,MarineTraffic.com,310551000,2014-07-24,ZCDX2,Lng tanker,Bermuda,9321770,METHANE NILE EAGLE
18473,310550000,MarineTraffic.com,310550000,2014-07-24,ZCDT5,Lng tanker,Bermuda,9311579,LNG ONDO
18472,310549000,MarineTraffic.com,310549000,2014-07-24,ZCDR6,Oil products tanker,Bermuda,9312444,STENA PRESIDENT
18471,310542000,MarineTraffic.com,310542000,2014-07-24,ZCDW3,Lng tanker,Bermuda,9322815,LNG OGUN
18470,310540000,MarineTraffic.com,310540000,2014-07-24,ZCDU4,Lng tanker,Bermuda,9321768,METHANE ALISON VICTORIA
18469,310535000,MarineTraffic.com,310535000,2014-07-24,ZCDU3,Lng tanker,Bermuda,9321756,METHANE SHIRLEY ELISABETH
18468,310529000,MarineTraffic.com,310529000,2014-07-24,ZCDU9,Passengers ship,Bermuda,9050137,ORIANA
18467,310528000,MarineTraffic.com,310528000,2014-07-24,ZCDU5,Lng tanker,Bermuda,9321744,METHANE HEATHER SALLY
18466,310507000,MarineTraffic.com,310507000,2014-07-24,ZCDL4,Crude oil tanker,Bermuda,9295036,COMPASSION
18465,310505000,MarineTraffic.com,310505000,2014-07-24,ZCDS4,Passengers ship,Bermuda,9187899,OCEAN PRINCESS
18464,310498000,MarineTraffic.com,310498000,2014-07-24,ZCDR7,Yacht,Bermuda,1008566,CALLISTO
18463,310497000,MarineTraffic.com,310497000,2014-07-24,ZCDR3,Oil/chemical tanker,Bermuda,9299135,STENA PROVENCE
18462,310495000,MarineTraffic.com,310495000,2014-07-24,ZCDQ3,Lng tanker,Bermuda,9267015,LNG BENUE
18461,310487000,MarineTraffic.com,310487000,2014-07-24,ZCDN4,Lng tanker,Bermuda,9267003,LNG OYO
18460,310486000,MarineTraffic.com,310486000,2014-07-24,ZCDP9,Oil products tanker,Bermuda,9299123,STENA PARIS
18459,310482000,MarineTraffic.com,310482000,2014-07-24,ZCDM5,Lng tanker,Bermuda,9266994,LNG ENUGU
18458,310479000,MarineTraffic.com,310479000,2014-07-24,ZCDO3,Lng tanker,Bermuda,9262235,LNG RIVER NIGER
18457,310469000,MarineTraffic.com,310469000,2014-07-24,ZCDM8,Lng tanker,Bermuda,9262211,LNG ADAMAWA
18456,310465000,MarineTraffic.com,310465000,2014-07-24,ZCBU3,Passengers ship,Bermuda,9150913,SEA PRINCESS
18455,310457000,MarineTraffic.com,310457000,2014-07-24,ZCDM9,Pleasure Craft,Bermuda,,MAVERICK
18454,310456000,MarineTraffic.com,310456000,2014-07-24,ZCDM7,Passengers ship,Bermuda,8201480,ARTANIA
18453,310440000,MarineTraffic.com,310440000,2014-07-24,ZCDK4,Lng tanker,Bermuda,9256793,METHANE KARI ELIN
18452,310438000,MarineTraffic.com,310438000,2014-07-24,ZCBU6,Passengers ship,Bermuda,9000259,SUN PRINCESS
18451,310437000,MarineTraffic.com,310437000,2014-07-24,ZCBU2,Passengers ship,Bermuda,9103996,DAWN PRINCESS
18448,310384000,MarineTraffic.com,310384000,2014-07-24,ZCDG4,Passengers ship,Bermuda,9230402,ISLAND PRINCESS
18447,310382000,MarineTraffic.com,310382000,2014-07-24,ZCDG2,Passengers ship,Bermuda,7108514,DISCOVERY
18446,310381000,MarineTraffic.com,310381000,2014-07-24,ZCDF9,Lng tanker,Bermuda,9241267,LNG BAYELSA
18445,310378000,MarineTraffic.com,310378000,2014-07-24,ZCDE4,Lng tanker,Bermuda,9216303,LNG SOKOTO
18444,310376000,MarineTraffic.com,310376000,2014-07-24,ZCDF4,Passengers ship,Bermuda,9229659,CORAL PRINCESS
18443,310370000,MarineTraffic.com,310370000,2014-07-24,ZCDE3,Lng tanker,Bermuda,9216298,LNG RIVERS
18442,310361000,MarineTraffic.com,310361000,2014-07-24,ZCDD6,Passengers ship,Bermuda,9192363,STAR PRINCESS
